Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
509910,ZSOUTGAS,SOUTHERN GAS LTD.,13 Sep 2007,Dividend - Rs. - 30.0000,-,25 Sep 2007,29 Sep 2007,13 Sep 2007,27 Sep 2007,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,11 Sep 2009,Dividend - Rs. - 30.0000,-,25 Sep 2009,30 Sep 2009,11 Sep 2009,25 Sep 2009,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,15 Sep 2010,General ,-,27 Sep 2010,27 Sep 2010,15 Sep 2010,30 Sep 2010,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,15 Oct 2010,Dividend - Rs. - 30.0000,28 Oct 2010,-,-,15 Oct 2010,02 Nov 2010,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,15 Sep 2011,Dividend - Rs. - 30.0000,-,27 Sep 2011,30 Sep 2011,15 Sep 2011,30 Sep 2011,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,12 Sep 2012,Dividend - Rs. - 30.0000,-,24 Sep 2012,27 Sep 2012,12 Sep 2012,27 Sep 2012,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,04 Sep 2014,Dividend - Rs. - 30.0000,-,18 Sep 2014,25 Sep 2014,04 Sep 2014,23 Sep 2014,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,15 Sep 2015,Dividend - Rs. - 30.0000,-,16 Sep 2015,24 Sep 2015,15 Sep 2015,21 Sep 2015,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,01 Sep 2016,Dividend - Rs. - 35.0000,-,14 Sep 2016,22 Sep 2016,01 Sep 2016,19 Sep 2016,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,07 Sep 2017,Final Dividend - Rs. - 35.0000,-,20 Sep 2017,26 Sep 2017,07 Sep 2017,25 Sep 2017,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,06 Sep 2018,Final Dividend - Rs. - 25.0000,-,20 Sep 2018,26 Sep 2018,06 Sep 2018,25 Sep 2018,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,18 Sep 2019,Final Dividend - Rs. - 40.0000,-,20 Sep 2019,26 Sep 2019,13 Sep 2019,19 Sep 2019,-
509910,ZSOUTGAS,SOUTHERN GAS LTD.,17 Sep 2020,Dividend - Rs. - 40.0000,18 Sep 2020,-,-,11 Sep 2020,17 Sep 2020,-
