Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
526817,CHEVIOT,CHEVIOT CO.LTD.-$,31 Jul 2008,Dividend - Rs. - 10.0000,-,02 Aug 2008,07 Aug 2008,28 Jul 2008,31 Jul 2008,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,16 Jul 2009,Dividend - Rs. - 6.0000,-,18 Jul 2009,23 Jul 2009,13 Jul 2009,16 Jul 2009,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,15 Jul 2010,Dividend - Rs. - 8.0000,-,17 Jul 2010,22 Jul 2010,12 Jul 2010,15 Jul 2010,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,21 Jul 2011,Dividend - Rs. - 12.0000,-,23 Jul 2011,28 Jul 2011,18 Jul 2011,21 Jul 2011,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,19 Jul 2012,Dividend - Rs. - 13.0000,-,21 Jul 2012,27 Jul 2012,16 Jul 2012,19 Jul 2012,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,18 Jul 2013,Dividend - Rs. - 15.0000,-,20 Jul 2013,26 Jul 2013,15 Jul 2013,18 Jul 2013,31 Jul 2013
526817,CHEVIOT,CHEVIOT CO.LTD.-$,31 Jul 2014,Dividend - Rs. - 15.0000,-,02 Aug 2014,08 Aug 2014,25 Jul 2014,31 Jul 2014,13 Aug 2014
526817,CHEVIOT,CHEVIOT CO.LTD.-$,06 Aug 2015,Dividend - Rs. - 17.0000,-,08 Aug 2015,13 Aug 2015,03 Aug 2015,06 Aug 2015,18 Aug 2015
526817,CHEVIOT,CHEVIOT CO.LTD.-$,17 Mar 2016,Interim Dividend - Rs. - 17.0000,18 Mar 2016,-,-,11 Mar 2016,17 Mar 2016,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,15 Jun 2017,Dividend - Rs. - 1.0000,16 Jun 2017,-,-,09 Jun 2017,15 Jun 2017,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,15 Jun 2017,Buy Back of Shares ,16 Jun 2017,-,-,09 Jun 2017,15 Jun 2017,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,02 Aug 2018,Dividend - Rs. - 1.0000,-,04 Aug 2018,10 Aug 2018,30 Jul 2018,02 Aug 2018,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,29 Aug 2018,Bonus issue 1:2,30 Aug 2018,-,-,23 Aug 2018,29 Aug 2018,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,16 Jul 2019,Dividend - Rs. - 1.0000,17 Jul 2019,-,-,10 Jul 2019,16 Jul 2019,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,27 Feb 2020,Interim Dividend - Rs. - 48.0000,28 Feb 2020,-,-,20 Feb 2020,27 Feb 2020,-
526817,CHEVIOT,CHEVIOT CO.LTD.-$,17 Sep 2020,Buy Back of Shares ,18 Sep 2020,-,-,11 Sep 2020,17 Sep 2020,-
